data-time,wind,ap,tmp,humi
2018-03-02-00:00:01,2.58,1012.87,272.95,42.0
2018-03-02-01:00:00,1.68,1012.78,274.45,34.0
2018-03-02-02:00:00,0.98,1011.98,275.45,32.0
2018-03-02-03:00:00,1.21,1011.39,277.35,29.0
2018-03-02-04:00:00,1.77,1010.19,278.15,27.0
2018-03-02-05:00:00,2.5,1008.69,279.75,24.0
2018-03-02-06:00:00,1.72,1007.19,280.95,23.0
2018-03-02-07:00:00,2.49,1006.8,281.05,23.0
2018-03-02-08:00:00,3.36,1005.99,281.75,22.0
2018-03-02-09:00:00,1.74,1005.59,281.95,21.0
2018-03-02-10:00:00,2.21,1005.78,281.05,23.0
2018-03-02-11:00:00,1.89,1005.97,278.55,27.0
2018-03-02-12:00:00,1.82,1006.27,277.25,30.0
2018-03-02-13:00:00,2.57,1006.28,277.85,30.0
2018-03-02-14:00:00,1.73,1006.17,277.75,38.0
2018-03-02-15:00:00,1.93,1005.86,276.55,47.0
2018-03-02-16:00:00,2.47,1005.17,278.25,46.0
2018-03-02-17:00:00,1.01,1004.86,276.65,49.0
2018-03-02-18:00:00,0.8,1004.35,275.25,50.0
2018-03-02-19:00:00,0.6,1003.65,274.05,53.0
2018-03-02-20:00:00,1.4,1003.35,272.55,57.0
2018-03-02-21:00:00,1.73,1003.25,272.75,57.0
2018-03-02-22:00:00,1.08,1003.15,272.65,56.0
2018-03-02-23:00:00,1.53,1003.85,272.85,55.0
2018-03-03-00:00:01,2.56,1004.77,274.85,50.0
2018-03-03-01:00:00,2.04,1004.97,276.85,44.0
2018-03-03-02:00:00,2.17,1004.98,279.45,40.0
2018-03-03-03:00:00,1.1,1005.09,281.85,41.0
2018-03-03-04:00:00,1.9,1005.19,281.75,49.0
2018-03-03-05:00:00,1.1,1005.19,282.25,49.0
2018-03-03-06:00:00,2.98,1004.19,282.65,49.0
2018-03-03-07:00:00,2.48,1004.89,282.65,53.0
2018-03-03-08:00:00,1.75,1006.29,282.25,53.0
2018-03-03-09:00:00,1.74,1007.1,282.25,54.0
2018-03-03-10:00:00,1.96,1008.39,281.45,57.0
2018-03-03-11:00:00,1.57,1009.49,281.25,57.0
2018-03-03-12:00:00,1.11,1009.79,280.25,60.0
2018-03-03-13:00:00,1.67,1010.49,281.05,62.0
2018-03-03-14:00:00,1.21,1011.81,281.05,63.0
2018-03-03-15:00:00,1.66,1012.9,281.25,62.0
2018-03-03-16:00:00,0.46,1013.4,281.15,54.0
2018-03-03-17:00:00,4.03,1013.89,282.95,15.0
2018-03-03-18:00:00,6.19,1015.02,283.95,11.0
2018-03-03-19:00:00,5.71,1015.92,283.15,11.0
2018-03-03-20:00:00,5.97,1016.51,282.65,11.0
2018-03-03-21:00:00,6.25,1016.82,281.95,12.0
2018-03-03-22:00:00,4.14,1017.62,281.15,13.0
2018-03-03-23:00:00,4.0,1018.71,280.15,53.0
2018-03-04-00:00:01,4.64,1019.51,279.55,67.0
2018-03-04-01:00:00,4.89,1020.62,279.35,53.0
2018-03-04-02:00:00,5.63,1021.32,279.65,47.0
2018-03-04-03:00:00,5.35,1022.13,280.05,36.0
2018-03-04-04:00:00,5.54,1021.72,279.55,34.0
2018-03-04-05:00:00,5.67,1021.02,279.55,32.0
2018-03-04-06:00:00,5.95,1020.62,279.95,30.0
2018-03-04-07:00:00,5.63,1020.42,279.85,30.0
2018-03-04-08:00:00,6.12,1020.71,279.05,30.0
2018-03-04-09:00:00,4.83,1021.01,278.25,31.0
