data-time,wind,dir,slp,t2,rh2,td2
20180302-0,2.8,97.0,1008.9,273.55,41.0,261.75
20180302-1,1.95,67.0,1008.9,274.85,38.0,261.97
20180302-2,1.43,244.0,1008.1,275.25,34.0,260.93
20180302-3,2.0,30.0,1007.5,277.55,31.0,261.82
20180302-4,1.39,246.0,1006.4,278.75,28.0,261.59
20180302-5,1.69,296.0,1004.7,280.05,26.0,261.8
20180302-6,2.55,86.0,1003.3,280.75,25.0,261.91
20180302-7,2.84,123.0,1002.9,281.45,25.0,262.52
20180302-8,1.58,192.0,1002.1,282.45,23.0,262.32
20180302-9,2.36,138.0,1001.7,281.85,24.0,262.35
20180302-10,2.12,64.0,1001.9,282.35,23.0,262.24
20180302-11,2.66,65.0,1002.1,281.85,24.0,262.35
20180302-12,2.96,29.0,1002.3,281.15,27.0,263.24
20180302-13,3.81,92.0,1002.4,280.05,32.0,264.45
20180302-14,1.89,129.0,1002.3,279.05,40.0,266.46
20180302-15,1.46,359.0,1001.9,278.35,43.0,266.77
20180302-16,1.42,124.0,1001.4,278.55,48.0,268.41
20180302-17,0.5,262.0,1001.0,277.05,50.0,267.55
20180302-18,0.58,19.0,1000.6,276.25,50.0,266.81
20180302-19,0.82,317.0,999.8,276.15,50.0,266.71
20180302-20,1.35,13.0,999.5,274.55,52.0,265.73
20180302-21,1.67,333.0,999.4,273.55,56.0,265.76
20180302-22,1.2,303.0,999.4,275.05,52.0,266.2
20180302-23,1.43,340.0,1000.0,275.05,52.0,266.2
20180303-0,1.8,324.0,1000.9,276.35,46.0,265.81
20180303-1,2.65,350.0,1001.1,276.65,45.0,265.8
20180303-2,2.33,346.0,1001.1,280.05,41.0,267.7
20180303-3,1.85,24.0,1001.2,281.25,47.0,270.63
20180303-4,2.09,110.0,1001.3,282.55,47.0,271.83
20180303-5,2.18,159.0,1001.3,282.45,51.0,272.86
20180303-6,2.97,92.0,1000.3,282.95,51.0,273.33
20180303-7,2.83,110.0,1001.0,282.85,52.0,273.5
20180303-8,2.23,39.0,1002.4,282.45,52.0,273.13
20180303-9,1.61,94.0,1003.2,282.55,55.0,274.0
20180303-10,1.73,8.0,1004.6,282.25,60.0,274.92
20180303-11,1.36,296.0,1005.6,282.25,56.0,273.96
20180303-12,1.77,34.0,1005.9,282.65,57.0,274.59
20180303-13,3.11,1.0,1006.6,282.05,62.0,275.19
20180303-14,1.02,247.0,1008.0,280.85,66.0,274.92
20180303-15,1.1,217.0,1009.1,280.55,66.0,274.63
20180303-16,2.03,15.0,1009.5,282.95,41.0,270.35
20180303-17,3.41,38.0,1010.0,283.25,22.0,262.45
20180303-18,4.58,45.0,1011.1,284.35,13.0,256.82
20180303-19,4.35,35.0,1011.9,283.85,12.0,255.44
20180303-20,2.7,66.0,1012.7,280.75,38.0,267.33
20180303-21,5.47,18.0,1012.9,282.15,13.0,255.02
20180303-22,4.0,59.0,1013.7,281.65,14.0,255.5
20180303-23,2.41,144.0,1014.9,280.25,47.0,269.7
20180304-0,2.49,158.0,1015.6,279.55,69.0,274.29
20180304-1,3.35,162.0,1016.6,279.35,54.0,270.74
20180304-2,4.34,183.0,1017.4,279.55,47.0,269.05
20180304-3,6.04,173.0,1018.2,279.75,38.0,266.42
20180304-4,5.6,178.0,1017.9,279.45,36.0,265.44
20180304-5,5.41,168.0,1017.2,280.05,34.0,265.24
20180304-6,5.08,164.0,1016.6,280.15,33.0,264.94
20180304-7,5.08,161.0,1016.5,279.75,32.0,264.19
20180304-8,4.54,154.0,1016.7,278.85,33.0,263.78
20180304-9,4.7,151.0,1017.1,278.15,35.0,263.91
20180304-10,4.46,141.0,1017.8,277.45,35.0,263.28
20180304-11,2.96,152.0,1019.3,276.45,37.0,263.09
20180304-12,3.13,153.0,1020.5,276.45,37.0,263.09
20180304-13,2.21,165.0,1021.5,275.75,39.0,263.12
20180304-14,1.28,159.0,1021.9,276.05,37.0,262.72
20180304-15,1.87,150.0,1022.0,275.35,40.0,263.08
20180304-16,1.82,104.0,1022.4,274.95,41.0,263.03
20180304-17,3.26,65.0,1022.6,273.55,45.0,262.94
20180304-18,2.9,61.0,1023.1,273.55,44.0,262.65
20180304-19,2.04,21.0,1023.3,273.95,43.0,262.72
20180304-20,2.47,360.0,1023.7,271.55,50.0,263.37
20180304-21,0.22,33.0,1024.5,271.35,53.0,263.85
20180304-22,1.03,112.0,1025.3,271.45,54.0,264.16
20180304-23,0.71,276.0,1026.1,271.15,56.0,264.29
20180305-0,1.6,21.0,1027.0,273.85,50.0,264.57
20180305-1,2.72,76.0,1027.6,274.95,44.0,263.94
20180305-2,3.77,110.0,1027.9,275.95,37.0,262.63
20180305-3,4.5,165.0,1027.7,278.25,32.0,262.85
20180305-4,4.25,166.0,1027.1,279.25,30.0,262.91
20180305-5,5.29,194.0,1026.0,280.85,24.0,261.48
20180305-6,5.22,188.0,1024.7,281.65,19.0,259.24
20180305-7,5.3,183.0,1024.0,281.35,19.0,258.99
20180305-8,5.68,190.0,1023.6,281.25,22.0,260.73
20180305-9,5.8,180.0,1023.4,280.25,24.0,260.96
20180305-10,6.2,176.0,1023.5,278.45,27.0,260.87
20180305-11,7.0,167.0,1024.7,276.05,33.0,261.27
20180305-12,5.77,162.0,1026.0,274.65,38.0,261.79
20180305-13,4.46,164.0,1026.8,273.35,44.0,262.46
20180305-14,3.21,159.0,1027.6,272.55,49.0,264.08
20180305-15,3.48,83.0,1027.8,271.75,52.0,264.01
20180305-16,3.48,110.0,1028.3,271.05,58.0,264.6
20180305-17,2.91,119.0,1028.7,271.05,59.0,264.8
20180305-18,2.52,139.0,1028.8,271.05,61.0,265.19
20180305-19,2.08,147.0,1028.5,270.45,63.0,264.99
20180305-20,1.93,71.0,1028.7,269.95,63.0,264.51
20180305-21,2.22,83.0,1029.4,269.45,66.0,264.56
20180305-22,1.62,91.0,1030.3,269.55,66.0,264.66
20180305-23,2.59,70.0,1031.3,270.45,65.0,265.35
20180306-0,2.38,85.0,1032.5,270.95,64.0,265.65
20180306-1,4.46,107.0,1033.1,271.95,58.0,265.46
20180306-2,3.73,129.0,1033.7,273.65,54.0,265.38
20180306-3,3.65,163.0,1033.6,275.35,46.0,264.88
20180306-4,3.86,126.0,1032.8,275.75,41.0,263.77
20180306-5,2.64,115.0,1031.4,276.05,37.0,262.72
20180306-6,3.5,171.0,1030.4,277.85,31.0,262.09
20180306-7,4.83,166.0,1029.7,277.75,28.0,260.71
20180306-8,5.37,150.0,1029.1,277.25,28.0,260.27
20180306-9,6.2,150.0,1029.1,277.05,29.0,260.54
20180306-10,6.66,152.0,1029.9,275.45,35.0,261.48
20180306-11,6.92,155.0,1030.4,273.85,38.0,261.07
20180306-12,4.54,155.0,1030.4,273.55,31.0,258.26
20180306-13,5.72,166.0,1030.6,273.15,34.0,259.04
20180306-14,4.93,160.0,1030.4,272.55,39.0,261.48
20180306-15,3.78,154.0,1030.2,272.05,45.0,262.64
20180306-16,4.46,158.0,1029.5,271.65,44.0,262.01
20180306-17,3.23,166.0,1029.1,270.25,50.0,262.15
20180306-18,3.87,156.0,1028.6,271.15,48.0,262.53
20180306-19,3.44,128.0,1027.8,271.35,45.0,261.98
20180306-20,3.42,152.0,1026.7,270.55,42.0,260.46
20180306-21,3.12,142.0,1026.4,270.55,38.0,259.35
20180306-22,3.31,135.0,1025.3,270.25,41.0,259.92
20180306-23,3.06,133.0,1025.0,270.15,42.0,260.09
20180307-0,3.48,128.0,1025.1,270.85,40.0,260.19
20180307-1,2.26,164.0,1025.4,271.65,40.0,260.93
20180307-2,2.32,138.0,1024.7,272.35,41.0,261.86
20180307-3,1.74,143.0,1023.7,272.45,45.0,263.01
20180307-4,1.65,149.0,1022.7,273.45,46.0,263.12
20180307-5,2.18,100.0,1021.6,274.45,46.0,264.05
20180307-6,2.94,51.0,1020.9,274.75,46.0,264.33
20180307-7,1.42,221.0,1020.5,274.95,46.0,264.51
20180307-8,1.33,73.0,1020.1,275.15,46.0,264.7
20180307-9,1.21,187.0,1020.2,275.25,46.0,264.79
20180307-10,0.79,162.0,1021.2,275.05,48.0,265.16
20180307-11,3.36,52.0,1022.7,275.25,46.0,264.79
20180307-12,3.35,46.0,1024.1,274.95,47.0,264.79
20180307-13,3.69,25.0,1025.2,274.45,46.0,264.05
20180307-14,3.16,350.0,1026.6,272.85,50.0,264.59
20180307-15,3.66,17.0,1027.3,274.35,47.0,264.23
20180307-16,4.39,26.0,1027.9,274.25,47.0,264.14
20180307-17,2.41,38.0,1028.6,273.55,44.0,262.65
20180307-18,3.63,12.0,1028.9,273.05,43.0,261.9
20180307-19,4.53,7.0,1029.0,271.75,44.0,262.1
20180307-20,4.37,20.0,1029.1,271.75,39.0,260.74
20180307-21,4.1,40.0,1029.5,271.55,36.0,259.66
20180307-22,4.7,29.0,1029.6,271.65,32.0,258.45
20180307-23,3.84,19.0,1030.5,271.95,31.0,258.37
20180308-0,5.29,30.0,1030.9,272.45,29.0,258.09
20180308-1,4.11,52.0,1031.4,274.25,25.0,256.25
20180308-2,1.1,91.0,1031.5,275.85,23.0,256.62
20180308-3,1.09,64.0,1031.0,276.65,23.0,257.31
20180308-4,2.34,55.0,1029.8,278.55,22.0,258.41
20180308-5,1.53,197.0,1028.7,280.25,19.0,258.05
20180308-6,3.09,189.0,1027.3,280.35,19.0,258.14
20180308-7,4.46,200.0,1026.9,280.95,22.0,260.47
20180308-8,5.62,181.0,1026.2,280.05,27.0,262.28
20180308-9,4.91,190.0,1026.0,279.15,30.0,262.82
20180308-10,4.98,188.0,1025.1,278.15,33.0,263.15
20180308-11,3.55,182.0,1025.8,276.65,38.0,263.61
20180308-12,4.18,186.0,1026.3,276.85,38.0,263.79
20180308-13,2.13,152.0,1026.7,277.15,38.0,264.06
20180308-14,3.28,163.0,1026.4,275.45,40.0,263.17
20180308-15,2.89,140.0,1026.0,274.85,39.0,262.3
20180308-16,4.35,133.0,1025.6,273.55,46.0,263.22
20180308-17,3.95,125.0,1025.5,272.25,53.0,264.7
20180308-18,4.8,127.0,1025.0,271.75,53.0,264.23
20180308-19,3.43,123.0,1024.3,271.15,53.0,263.66
20180308-20,2.72,78.0,1024.1,269.95,63.0,264.51
20180308-21,1.95,85.0,1023.8,269.65,64.0,264.4
20180308-22,2.04,113.0,1023.1,269.75,64.0,264.5
20180308-23,1.75,124.0,1022.8,269.95,63.0,264.51
20180309-0,1.36,126.0,1023.0,271.25,56.0,264.39
20180309-1,1.83,195.0,1022.7,272.15,51.0,264.16
20180309-2,1.04,224.0,1021.8,274.25,44.0,263.29
20180309-3,2.06,85.0,1020.5,275.45,41.0,263.49
20180309-4,1.74,112.0,1019.1,276.85,38.0,263.79
20180309-5,2.48,149.0,1017.5,278.45,35.0,264.18
20180309-6,2.47,156.0,1015.9,281.25,32.0,265.52
20180309-7,3.73,204.0,1014.6,281.95,31.0,265.73
20180309-8,3.1,201.0,1013.8,282.05,31.0,265.82
20180309-9,2.5,210.0,1013.4,282.15,33.0,266.73
20180309-10,1.36,191.0,1013.4,281.35,35.0,266.79
20180309-11,4.13,5.0,1013.8,278.85,36.0,264.9
20180309-12,3.13,27.0,1013.9,279.35,35.0,264.99
20180309-13,3.91,33.0,1014.0,279.45,36.0,265.44
20180309-14,2.89,4.0,1014.6,278.05,40.0,265.55
20180309-15,1.93,293.0,1014.6,277.65,42.0,265.82
20180309-16,0.8,318.0,1014.7,276.45,45.0,265.61
20180309-17,2.73,9.0,1014.9,276.35,45.0,265.52
20180309-18,2.69,350.0,1015.4,274.35,52.0,265.55
20180309-19,3.2,350.0,1015.6,274.15,53.0,265.61
20180309-20,3.4,348.0,1015.7,273.25,56.0,265.48
20180309-21,3.27,339.0,1016.1,273.45,57.0,265.9
20180309-22,2.62,348.0,1016.6,273.95,55.0,265.9
20180309-23,4.13,344.0,1017.0,275.25,50.0,265.88
20180310-0,4.7,352.0,1017.9,276.85,45.0,265.98
20180310-1,2.31,45.0,1019.1,280.05,36.0,265.99
20180310-2,3.13,130.0,1020.1,281.05,36.0,266.89
20180310-3,5.7,158.0,1020.1,283.15,32.0,267.22
20180310-4,4.56,130.0,1019.9,283.85,31.0,267.42
20180310-5,5.07,142.0,1019.3,284.85,31.0,268.31
20180310-6,4.97,149.0,1018.5,285.45,30.0,268.4
20180310-7,4.08,158.0,1018.2,285.35,30.0,268.31
20180310-8,5.25,153.0,1017.9,285.55,30.0,268.49
20180310-9,5.54,173.0,1018.2,283.95,33.0,268.34
20180310-10,5.43,149.0,1018.7,282.35,40.0,269.47
20180310-11,4.68,145.0,1019.6,280.15,41.0,267.79
20180310-12,5.54,151.0,1020.6,278.15,43.0,266.58
20180310-13,4.55,168.0,1021.5,276.65,42.0,264.9
20180310-14,3.15,155.0,1022.1,276.45,45.0,265.61
20180310-15,4.34,160.0,1022.8,275.55,52.0,266.67
20180310-16,2.85,149.0,1023.2,274.95,54.0,266.6
20180310-17,2.02,161.0,1023.2,274.95,53.0,266.36
20180310-18,0.97,189.0,1022.8,274.15,54.0,265.85
20180310-19,0.83,275.0,1022.4,274.15,52.0,265.36
20180310-20,0.66,247.0,1022.0,272.75,54.0,265.39
20180310-21,0.64,232.0,1022.1,272.75,52.0,264.95
20180310-22,1.21,44.0,1022.2,273.85,54.0,265.57
20180310-23,0.58,254.0,1022.6,272.45,58.0,265.94
20180311-0,1.96,312.0,1022.8,274.95,46.0,264.51
20180311-1,1.62,305.0,1022.7,276.85,38.0,263.79
20180311-2,0.86,280.0,1022.5,278.15,34.0,263.54
20180311-3,1.49,90.0,1021.8,277.95,33.0,262.97
20180311-4,2.92,78.0,1020.8,278.55,35.0,264.27
20180311-5,2.27,43.0,1019.9,279.15,32.0,263.65
20180311-6,2.05,73.0,1018.5,279.75,31.0,263.78
20180311-7,2.32,63.0,1017.7,280.35,30.0,263.89
20180311-8,2.62,131.0,1016.8,280.15,35.0,265.71
20180311-9,1.41,132.0,1016.3,280.35,36.0,266.26
20180311-10,1.83,180.0,1016.2,280.15,39.0,267.13
20180311-11,1.75,176.0,1016.1,279.95,41.0,267.61
20180311-12,3.21,356.0,1016.3,279.05,34.0,264.34
20180311-13,2.17,23.0,1016.1,279.45,33.0,264.32
20180311-14,2.32,18.0,1015.9,279.75,33.0,264.58
20180311-15,1.68,317.0,1015.6,278.85,35.0,264.54
20180311-16,0.52,23.0,1015.0,278.85,36.0,264.9
20180311-17,2.33,154.0,1014.6,278.45,52.0,269.38
20180311-18,2.06,149.0,1014.0,277.95,67.0,272.35
20180311-19,1.5,158.0,1013.2,276.85,71.0,272.08
20180311-20,1.74,183.0,1012.4,275.45,78.0,272.01
20180311-21,1.04,178.0,1012.0,275.25,77.0,271.64
20180311-22,1.68,302.0,1011.8,275.05,53.0,266.45
20180311-23,0.87,243.0,1011.6,275.35,51.0,266.23
20180312-0,1.82,316.0,1011.8,276.95,47.0,266.65
20180312-1,1.03,327.0,1011.8,279.05,41.0,266.78
20180312-2,1.3,323.0,1011.1,281.15,34.0,266.23
20180312-3,1.11,200.0,1010.3,281.45,35.0,266.88
20180312-4,2.07,127.0,1009.3,282.45,36.0,268.15
20180312-5,0.75,320.0,1008.3,283.95,34.0,268.74
