data-time,wind,dir,slp,t2,rh2,td2,nwp_wind,nwp_dir,nwp_u,nwp_v,nwp_t,nwp_rh,nwp_psfc,nwp_slp,residual
2018-03-02-00:00:01,2.8,97.0,1008.9,273.55,41.0,261.75,1.61935,45.68564,-1.15868,-1.13127,270.62567,42.1016,1004.89111,1012.33185,1.1806499999999998
2018-03-02-01:00:00,1.95,67.0,1008.9,274.85,38.0,261.97,1.39826,64.2957,-1.08473,-0.69056,272.54102,38.69065,1004.45251,1011.85376,0.5517399999999999
2018-03-02-02:00:00,1.43,244.0,1008.1,275.25,34.0,260.93,1.17718,82.90576,-1.01079,-0.24984,274.45636,35.27971,1004.01398,1011.37561,0.25282000000000004
2018-03-02-03:00:00,2.0,30.0,1007.5,277.55,31.0,261.82,0.95609,101.51583,-0.93684,0.19087,276.3717,31.86877,1003.57538,1010.89752,1.04391
2018-03-02-04:00:00,1.39,246.0,1006.4,278.75,28.0,261.59,1.29597,127.60284,-0.62713,0.78582,277.86093,31.35594,1002.20032,1009.474,0.09402999999999984
2018-03-02-05:00:00,1.69,296.0,1004.7,280.05,26.0,261.8,1.63584,153.68983,-0.31741,1.38076,279.35019,30.84311,1000.82532,1008.05042,0.054159999999999986
2018-03-02-06:00:00,2.55,86.0,1003.3,280.75,25.0,261.91,1.97572,179.77684,-0.0077,1.97571,280.83942,30.33028,999.45026,1006.62689,0.5742799999999999
2018-03-02-07:00:00,2.84,123.0,1002.9,281.45,25.0,262.52,1.72919,182.14029,0.04414,1.72622,280.86868,34.39488,998.96991,1006.12836,1.1108099999999999
2018-03-02-08:00:00,1.58,192.0,1002.1,282.45,23.0,262.32,1.48265,184.50374,0.09597,1.47674,280.89798,38.45948,998.48962,1005.62976,0.09735000000000005
2018-03-02-09:00:00,2.36,138.0,1001.7,281.85,24.0,262.35,1.23612,186.86719,0.1478,1.22725,280.92725,42.52409,998.00928,1005.13123,1.1238799999999998
2018-03-02-10:00:00,2.12,64.0,1001.9,282.35,23.0,262.24,1.38328,134.95213,-0.1905,0.33945,278.82776,47.01969,998.02435,1005.14624,0.73672
2018-03-02-11:00:00,2.66,65.0,1002.1,281.85,24.0,262.35,1.53044,83.03708,-0.52879,-0.54834,276.72827,51.51529,998.03937,1005.16125,1.1295600000000001
2018-03-02-12:00:00,2.96,29.0,1002.3,281.15,27.0,263.24,1.62955,29.9352,-0.81318,-1.41216,274.70819,55.65762,998.57806,1005.69623,1.33045
2018-03-02-13:00:00,3.81,92.0,1002.4,280.05,32.0,264.45,1.71188,38.18417,-1.05251,-1.30305,274.03497,61.20657,998.36633,1005.5177,2.0981199999999998
2018-03-02-14:00:00,1.89,129.0,1002.3,279.05,40.0,266.46,1.7942,46.43315,-1.29183,-1.19394,273.36176,66.75552,998.15454,1005.33917,0.09579999999999989
2018-03-02-15:00:00,1.46,359.0,1001.9,278.35,43.0,266.77,1.87652,54.68213,-1.53116,-1.08484,272.68854,72.30447,997.94281,1005.16064,-0.41652
2018-03-02-16:00:00,1.42,124.0,1001.4,278.55,48.0,268.41,2.03437,50.02738,-1.53179,-1.31696,272.34482,74.11922,997.46417,1004.68085,-0.6143700000000001
2018-03-02-17:00:00,0.5,262.0,1001.0,277.05,50.0,267.55,2.19222,45.37263,-1.53241,-1.54907,272.00107,75.93398,996.98553,1004.20105,-1.6922199999999998
2018-03-02-18:00:00,0.58,19.0,1000.6,276.25,50.0,266.81,2.35007,40.71788,-1.53303,-1.78119,271.65735,77.74873,996.5069,1003.72125,-1.77007
2018-03-02-19:00:00,0.82,317.0,999.8,276.15,50.0,266.71,2.24477,40.96671,-1.471,-1.69557,271.51208,81.56596,995.9118,1003.13226,-1.42477
2018-03-02-20:00:00,1.35,13.0,999.5,274.55,52.0,265.73,2.13947,41.21554,-1.40897,-1.60995,271.36685,85.38321,995.31665,1002.54333,-0.7894700000000001
2018-03-02-21:00:00,1.67,333.0,999.4,273.55,56.0,265.76,2.03417,41.46437,-1.34693,-1.52434,271.22159,89.20045,994.72156,1001.95435,-0.3641700000000001
2018-03-02-22:00:00,1.2,303.0,999.4,275.05,52.0,266.2,2.04264,31.99951,-1.05321,-1.68497,272.16986,87.94534,995.11737,1002.35248,-0.8426400000000001
2018-03-02-23:00:00,1.43,340.0,1000.0,275.05,52.0,266.2,2.05112,22.53464,-0.75948,-1.84561,273.11813,86.69025,995.51324,1002.75061,-0.6211200000000001
2018-03-03-00:00:01,1.8,324.0,1000.9,276.35,46.0,265.81,2.05959,13.06978,-0.46575,-2.00624,274.06641,85.43514,995.90906,1003.14874,-0.25959
2018-03-03-01:00:00,2.65,350.0,1001.1,276.65,45.0,265.8,1.8408,33.60179,-0.76159,-1.46119,276.89517,77.01299,996.06915,1003.26227,0.8091999999999999
2018-03-03-02:00:00,2.33,346.0,1001.1,280.05,41.0,267.7,1.62201,54.1338,-1.05743,-0.91613,279.72391,68.59083,996.22919,1003.37585,0.7079900000000001
2018-03-03-03:00:00,1.85,24.0,1001.2,281.25,47.0,270.63,1.40322,74.66581,-1.35326,-0.37108,282.55267,60.16867,996.38928,1003.48938,0.4467800000000002
2018-03-03-04:00:00,2.09,110.0,1001.3,282.55,47.0,271.83,1.49948,110.45682,-0.88211,0.31626,283.72485,56.77193,996.12689,1003.19604,0.5905199999999999
2018-03-03-05:00:00,2.18,159.0,1001.3,282.45,51.0,272.86,1.59575,146.24783,-0.41096,1.0036,284.89703,53.37519,995.86456,1002.90271,0.5842500000000002
2018-03-03-06:00:00,2.97,92.0,1000.3,282.95,51.0,273.33,1.69202,182.03885,0.0602,1.69095,286.06921,49.97844,995.60217,1002.60938,1.2779800000000001
2018-03-03-07:00:00,2.83,110.0,1001.0,282.85,52.0,273.5,1.42614,157.50223,-0.24271,1.22155,286.0105,54.63671,996.37177,1003.3681,1.40386
2018-03-03-08:00:00,2.23,39.0,1002.4,282.45,52.0,273.13,1.16027,132.96562,-0.54562,0.75215,285.95181,59.29498,997.14142,1004.12689,1.06973
2018-03-03-09:00:00,1.61,94.0,1003.2,282.55,55.0,274.0,0.8944,108.42901,-0.84853,0.28275,285.8931,63.95324,997.91101,1004.88562,0.7156000000000001
2018-03-03-10:00:00,1.73,8.0,1004.6,282.25,60.0,274.92,1.28587,74.02229,-0.62829,-0.49826,283.36023,71.88546,998.9173,1005.90979,0.4441299999999999
2018-03-03-11:00:00,1.36,296.0,1005.6,282.25,56.0,273.96,1.67734,39.61558,-0.40806,-1.27926,280.82736,79.81769,999.92358,1006.93396,-0.31733999999999996
2018-03-03-12:00:00,1.77,34.0,1005.9,282.65,57.0,274.59,1.62136,12.65207,-0.35513,-1.58199,278.53125,88.74543,1002.50305,1009.63,0.1486400000000001
2018-03-03-13:00:00,3.11,1.0,1006.6,282.05,62.0,275.19,1.50366,119.85355,-0.05313,-1.43545,278.07919,90.1856,1003.58594,1010.71185,1.6063399999999999
2018-03-03-14:00:00,1.02,247.0,1008.0,280.85,66.0,274.92,1.38596,227.05504,0.24886,-1.28892,277.62717,91.62576,1004.66882,1011.79376,-0.36596000000000006
2018-03-03-15:00:00,1.1,217.0,1009.1,280.55,66.0,274.63,1.26826,334.25653,0.55086,-1.14238,277.17511,93.06593,1005.75171,1012.87561,-0.16825999999999985
2018-03-03-16:00:00,2.03,15.0,1009.5,282.95,41.0,270.35,2.59747,237.84238,-0.87189,-2.00011,277.84903,68.23769,1006.77997,1013.92914,-0.5674700000000001
2018-03-03-17:00:00,3.41,38.0,1010.0,283.25,22.0,262.45,3.92669,141.42824,-2.29465,-2.85784,278.52292,43.40946,1007.80829,1014.98273,-0.5166899999999996
2018-03-03-18:00:00,4.58,45.0,1011.1,284.35,13.0,256.82,5.2559,45.01411,-3.7174,-3.71557,279.19684,18.58122,1008.83655,1016.03625,-0.6758999999999995
2018-03-03-19:00:00,4.35,35.0,1011.9,283.85,12.0,255.44,5.10334,34.92545,-2.88543,-4.02376,278.92627,19.12536,1009.37714,1016.58752,-0.7533400000000006
2018-03-03-20:00:00,2.7,66.0,1012.7,280.75,38.0,267.33,4.95078,24.83678,-2.05346,-4.33195,278.6557,19.66951,1009.91779,1017.13873,-2.25078
2018-03-03-21:00:00,5.47,18.0,1012.9,282.15,13.0,255.02,4.79822,14.74811,-1.22148,-4.64013,278.38513,20.21365,1010.45837,1017.69,0.67178
2018-03-03-22:00:00,4.0,59.0,1013.7,281.65,14.0,255.5,3.77459,49.36607,-1.31984,-2.81778,277.80292,24.43377,1011.51764,1018.7677,0.2254100000000001
2018-03-03-23:00:00,2.41,144.0,1014.9,280.25,47.0,269.7,2.75097,83.98404,-1.4182,-0.99543,277.2207,28.65388,1012.57684,1019.8454,-0.34097
2018-03-04-00:00:01,2.49,158.0,1015.6,279.55,69.0,274.29,1.72735,118.60201,-1.51655,0.82692,276.63849,32.874,1013.63611,1020.9231,0.7626500000000003
2018-03-04-01:00:00,3.35,162.0,1016.6,279.35,54.0,270.74,2.15528,131.07376,-1.41901,1.46834,277.7142,30.25488,1014.30774,1021.60333,1.1947200000000002
2018-03-04-02:00:00,4.34,183.0,1017.4,279.55,47.0,269.05,2.58321,143.54553,-1.32146,2.10976,278.78995,27.63576,1014.97931,1022.28351,1.75679
2018-03-04-03:00:00,6.04,173.0,1018.2,279.75,38.0,266.42,3.01114,156.01729,-1.22391,2.75119,279.86566,25.01664,1015.65094,1022.96375,3.02886
2018-03-04-04:00:00,5.6,178.0,1017.9,279.45,36.0,265.44,2.96419,159.603,-1.03483,2.76551,280.12375,24.56083,1014.9978,1022.29938,2.6358099999999998
2018-03-04-05:00:00,5.41,168.0,1017.2,280.05,34.0,265.24,2.91723,163.18871,-0.84576,2.77982,280.38187,24.10502,1014.34473,1021.63501,2.49277
2018-03-04-06:00:00,5.08,164.0,1016.6,280.15,33.0,264.94,2.87027,166.77441,-0.65668,2.79414,280.63995,23.64922,1013.69159,1020.97064,2.20973
2018-03-04-07:00:00,5.08,161.0,1016.5,279.75,32.0,264.19,2.91589,169.83562,-0.50844,2.86264,280.37201,23.73113,1013.79919,1021.07623,2.16411
2018-03-04-08:00:00,4.54,154.0,1016.7,278.85,33.0,263.78,2.9615,172.89682,-0.3602,2.93114,280.1041,23.81305,1013.9068,1021.18188,1.5785
2018-03-04-09:00:00,4.7,151.0,1017.1,278.15,35.0,263.91,3.00711,175.95802,-0.21196,2.99963,279.83615,23.89496,1014.0144,1021.28748,1.6928900000000002
2018-03-04-10:00:00,4.46,141.0,1017.8,277.45,35.0,263.28,2.72056,168.58673,-0.45685,2.64227,278.39511,27.2625,1015.12354,1022.41376,1.73944
2018-03-04-11:00:00,2.96,152.0,1019.3,276.45,37.0,263.09,2.434,161.21542,-0.70174,2.28491,276.9541,30.63004,1016.23273,1023.53998,0.5259999999999998
2018-03-04-12:00:00,3.13,153.0,1020.5,276.45,37.0,263.09,2.26339,180.13898,0.00549,2.26338,274.97076,38.09,1016.83362,1024.18689,0.8666100000000001
2018-03-04-13:00:00,2.21,165.0,1021.5,275.75,39.0,263.12,2.1425,189.57744,0.30553,2.06596,274.06873,40.82925,1017.46204,1024.8363,0.0674999999999999
2018-03-04-14:00:00,1.28,159.0,1021.9,276.05,37.0,262.72,2.02161,199.0159,0.60557,1.86853,273.16669,43.56851,1018.09052,1025.4856,-0.7416099999999999
2018-03-04-15:00:00,1.87,150.0,1022.0,275.35,40.0,263.08,1.90073,208.45436,0.90562,1.67111,272.26465,46.30777,1018.71893,1026.13501,-0.030729999999999924
2018-03-04-16:00:00,1.82,104.0,1022.4,274.95,41.0,263.03,1.33255,188.0984,0.5685,1.16916,271.82364,48.04899,1018.94409,1026.37024,0.48745000000000016
2018-03-04-17:00:00,3.26,65.0,1022.6,273.55,45.0,262.94,0.76438,167.74243,0.23137,0.66722,271.38266,49.79021,1019.16919,1026.60535,2.4956199999999997
2018-03-04-18:00:00,2.9,61.0,1023.1,273.55,44.0,262.65,0.1962,147.38647,-0.10575,0.16527,270.94165,51.53143,1019.39435,1026.84058,2.7037999999999998
2018-03-04-19:00:00,2.04,21.0,1023.3,273.95,43.0,262.72,0.59271,121.59693,-0.5046,-0.04767,270.18964,55.74052,1019.94647,1027.40637,1.4472900000000002
2018-03-04-20:00:00,2.47,360.0,1023.7,271.55,50.0,263.37,0.98922,95.80739,-0.90345,-0.2606,269.43765,59.94962,1020.49866,1027.97229,1.4807800000000002
2018-03-04-21:00:00,0.22,33.0,1024.5,271.35,53.0,263.85,1.38573,70.01785,-1.30231,-0.47354,268.68564,64.15871,1021.05078,1028.53809,-1.16573
2018-03-04-22:00:00,1.03,112.0,1025.3,271.45,54.0,264.16,1.56036,86.98402,-1.41431,0.01135,269.59799,60.596,1021.9707,1029.47559,-0.5303599999999999
2018-03-04-23:00:00,0.71,276.0,1026.1,271.15,56.0,264.29,1.73499,103.9502,-1.5263,0.49625,270.51038,57.0333,1022.89056,1030.41309,-1.02499
2018-03-05-00:00:01,1.6,21.0,1027.0,273.85,50.0,264.57,1.90963,120.91637,-1.6383,0.98114,271.42273,53.4706,1023.81049,1031.35059,-0.30962999999999985
2018-03-05-01:00:00,2.72,76.0,1027.6,274.95,44.0,263.94,2.49936,129.43744,-1.76939,1.67642,273.39526,42.05667,1024.10327,1031.61353,0.2206400000000004
2018-03-05-02:00:00,3.77,110.0,1027.9,275.95,37.0,262.63,3.08908,137.9585,-1.90048,2.3717,275.3678,30.64274,1024.396,1031.87646,0.68092
2018-03-05-03:00:00,4.5,165.0,1027.7,278.25,32.0,262.85,3.67881,146.47957,-2.03157,3.06699,277.34033,19.22881,1024.68884,1032.1394,0.8211900000000001
2018-03-05-04:00:00,4.25,166.0,1027.1,279.25,30.0,262.91,3.99387,157.27866,-1.38459,3.58569,278.13403,20.62651,1023.79669,1031.22046,0.2561300000000002
2018-03-05-05:00:00,5.29,194.0,1026.0,280.85,24.0,261.48,4.30894,168.07776,-0.73761,4.1044,278.92773,22.02421,1022.90448,1030.30139,0.9810600000000003
2018-03-05-06:00:00,5.22,188.0,1024.7,281.65,19.0,259.24,4.624,178.87685,-0.09064,4.62311,279.72144,23.42192,1022.01233,1029.38245,0.5960000000000001
2018-03-05-07:00:00,5.3,183.0,1024.0,281.35,19.0,258.99,4.53073,179.31456,-0.05562,4.53013,279.44034,23.34808,1021.62268,1028.98413,0.7692699999999997
2018-03-05-08:00:00,5.68,190.0,1023.6,281.25,22.0,260.73,4.43746,179.75226,-0.02061,4.43714,279.15921,23.27425,1021.23303,1028.58582,1.24254
2018-03-05-09:00:00,5.8,180.0,1023.4,280.25,24.0,260.96,4.34419,180.18997,0.0144,4.34416,278.87811,23.20041,1020.84338,1028.1875,1.4558099999999996
2018-03-05-10:00:00,6.2,176.0,1023.5,278.45,27.0,260.87,4.38929,171.73325,-0.62569,4.24739,276.88565,28.96242,1021.59021,1028.9856,1.8107100000000003
2018-03-05-11:00:00,7.0,167.0,1024.7,276.05,33.0,261.27,4.4344,163.27652,-1.26578,4.15061,274.89316,34.72443,1022.3371,1029.78381,2.5656
2018-03-05-12:00:00,5.77,162.0,1026.0,274.65,38.0,261.79,4.33314,156.61319,-1.71998,3.97716,272.57556,42.94853,1022.47314,1029.9762,1.4368599999999994
2018-03-05-13:00:00,4.46,164.0,1026.8,273.35,44.0,262.46,3.45367,131.56964,-1.70533,2.56777,271.55756,49.67726,1023.06506,1030.58533,1.0063300000000002
2018-03-05-14:00:00,3.21,159.0,1027.6,272.55,49.0,264.08,2.5742,106.52608,-1.69068,1.15838,270.53958,56.40599,1023.65698,1031.19458,0.6358000000000001
2018-03-05-15:00:00,3.48,83.0,1027.8,271.75,52.0,264.01,1.69472,81.48253,-1.67603,-0.25101,269.52158,63.13472,1024.2489,1031.80371,1.78528
2018-03-05-16:00:00,3.48,110.0,1028.3,271.05,58.0,264.6,1.63455,76.53595,-1.58073,-0.36745,269.02917,66.55688,1024.69067,1032.26038,1.84545
2018-03-05-17:00:00,2.91,119.0,1028.7,271.05,59.0,264.8,1.57438,71.58937,-1.48543,-0.48389,268.53677,69.97905,1025.13245,1032.71704,1.3356200000000003
2018-03-05-18:00:00,2.52,139.0,1028.8,271.05,61.0,265.19,1.51421,66.64279,-1.39012,-0.60033,268.04437,73.40121,1025.57422,1033.17371,1.00579
2018-03-05-19:00:00,2.08,147.0,1028.5,270.45,63.0,264.99,1.39229,65.08102,-1.26462,-0.58019,268.02795,74.75887,1025.80017,1033.4137,0.68771
