,,,
site,Nwp,Deep-Learning,up
site0/,1.72,0.98,43.19%
site1/,1.45,0.86,40.58%
site2/,1.15,0.63,45.11%
site3/,1.47,0.94,36.52%
site4/,1.13,0.74,34.38%
site5/,1.62,0.89,45.49%
site6/,1.11,0.64,41.97%
site7/,1.64,0.86,47.39%
site8/,1.56,0.94,39.66%
,,,
,,,
,,,
,,,
,,,
site,Bigwind_Nwp,Bigwind_Deep-Learning,Bigwind_up
site0/,3.07,1.36,55.65%
site1/,2.50,1.14,54.23%
site2/,1.34,0.79,41.07%
site3/,2.65,1.38,47.84%
site4/,1.65,1.01,38.72%
site5/,2.64,1.11,57.97%
site6/,1.41,0.88,37.39%
site7/,2.80,1.09,60.93%
site8/,2.81,1.34,52.42%
